Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Date,Delivery_Term,City,price_per_m2,total_rooms,Log_Price,Log_Area
0,3867322.0,4.0,3.0,220.0,0,1,installment,within_6_months,4,3,17578.736363636363,7.0,15.168073094383356,5.3981627015177525
0,2838367.0,2.0,2.0,100.0,0,Ground,installment,2025,2,3,28383.67,4.0,14.858739797076687,4.61512051684126
0,2931567.0,3.0,3.0,140.0,0,Ground,installment,2025,2,3,20939.764285714286,6.0,14.891047991433256,4.948759890378168
0,880000.0,3.0,2.0,190.0,0,4,cash,unknown,4,71,4631.578947368421,5.0,13.68767832281738,5.25227342804663
0,1640000.0,3.0,2.0,168.0,0,3,unknown payment,ready_to_move,0,127,9761.904761904761,5.0,14.310207409556293,5.1298987149230735
0,3500000.0,3.0,3.0,180.0,0,2,cash,ready_to_move,1,141,19444.444444444445,6.0,15.068273812173887,5.198497031265826
0,1750000.0,3.0,2.0,116.0,0,3,cash,ready_to_move,1,93,15086.206896551725,5.0,14.375126917328105,4.762173934797756
0,10000000.0,4.0,4.0,338.0,0,1,cash,ready_to_move,1,117,29585.798816568047,8.0,16.118095750958314,5.82600010738045
0,700000.0,2.0,1.0,100.0,0,2,cash,ready_to_move,1,78,7000.0,3.0,13.45883704259595,4.61512051684126
0,5800000.0,4.0,4.0,338.0,2,4,cash,ready_to_move,1,117,17159.763313609466,8.0,15.573368647930426,5.82600010738045
0,2050000.0,3.0,2.0,185.0,0,3,cash or installment,ready_to_move,4,78,11081.081081081082,5.0,14.53335083891935,5.225746673713202
0,2600000.0,3.0,2.0,131.0,1,4,unknown payment,within_6_months,4,141,19847.32824427481,5.0,14.77102238760702,4.882801922586371
0,6390000.0,3.0,3.0,170.0,0,3,cash or installment,ready_to_move,1,119,37588.23529411765,6.0,15.670244982848228,5.14166355650266
0,250000.0,4.0,5.0,170.0,1,3,installment,unknown,1,119,1470.5882352941176,9.0,12.429220196836383,5.14166355650266
0,920000.0,3.0,2.0,175.0,0,2,cash,unknown,1,71,5257.142857142857,5.0,13.732130035981154,5.170483995038151
0,4767888.0,2.0,2.0,115.0,0,1,installment,within_6_months,1,159,41459.89565217392,4.0,15.377414207254992,4.7535901911063645
0,3753888.0,1.0,1.0,86.0,0,3,installment,within_6_months,1,159,43649.86046511628,2.0,15.138302927231127,4.465908118654584
0,413000.0,3.0,2.0,165.0,0,Ground,cash or installment,ready_to_move,4,161,2503.030303030303,5.0,12.931205293247745,5.111987788356544
0,1900000.0,2.0,1.0,135.0,1,2,cash,ready_to_move,1,75,14074.074074074075,3.0,14.45736497045232,4.912654885736052
0,4100000.0,3.0,3.0,250.0,0,Ground,installment,2025,3,3,16400.0,6.0,15.226497775576945,5.5254529391317835
0,1150000.0,2.0,2.0,165.0,0,3,cash,unknown,1,71,6969.69696969697,4.0,13.955273369904273,5.111987788356544
2,4100000.0,4.0,4.0,400.0,0,Ground,cash,ready_to_move,3,159,10250.0,8.0,15.226497775576945,5.993961427306569
0,550000.0,3.0,1.0,105.0,0,3,cash,ready_to_move,1,69,5238.0952380952385,4.0,13.217675375388819,4.663439094112067
0,36000.0,3.0,2.0,161.0,0,2,cash or installment,ready_to_move,4,119,223.6024844720497,5.0,10.491301994830229,5.087596335232384
0,3000000.0,4.0,2.0,204.0,1,10+,cash,2022,1,11,14705.882352941177,6.0,14.914123179965662,5.3230099791384085
0,1275000.0,3.0,3.0,177.0,0,2,cash or installment,ready_to_move,3,161,7203.389830508475,6.0,14.058457520888082,5.181783550292085
0,1800000.0,2.0,2.0,96.0,0,1,cash,ready_to_move,1,93,18750.0,4.0,14.403297778421795,4.574710978503383
0,825000.0,3.0,2.0,215.0,0,4,cash,ready_to_move,1,71,3837.2093023255816,5.0,13.623139877437296,5.375278407684165
0,950000.0,3.0,1.0,150.0,1,1,unknown payment,ready_to_move,1,171,6333.333333333333,4.0,13.76421831620775,5.017279836814924
0,1750000.0,4.0,2.0,135.0,0,4,cash,ready_to_move,1,91,12962.962962962964,6.0,14.375126917328105,4.912654885736052
0,370000.0,3.0,3.0,198.0,0,2,cash or installment,unknown,1,120,1868.6868686868686,6.0,12.821260987319457,5.293304824724492
0,270000.0,3.0,2.0,160.0,0,3,cash or installment,unknown,3,119,1687.5,5.0,12.506180941677357,5.081404364984463
0,250000.0,3.0,2.0,153.0,0,1,cash or installment,unknown,3,93,1633.986928104575,5.0,12.429220196836383,5.0369526024136295
0,1650000.0,4.0,2.0,135.0,0,4,cash,ready_to_move,1,173,12222.222222222223,6.0,14.316286451937186,4.912654885736052
0,300000.0,3.0,2.0,180.0,0,2,cash or installment,unknown,3,119,1666.6666666666667,5.0,12.611541086966115,5.198497031265826
0,340000.0,3.0,2.0,158.0,0,Ground,cash or installment,unknown,1,120,2151.8987341772154,5.0,12.73670383776449,5.0689042022202315
0,250000.0,3.0,2.0,159.0,0,2,cash or installment,unknown,2,120,1572.3270440251572,5.0,12.429220196836383,5.075173815233827
0,980000.0,3.0,1.0,150.0,0,9,cash,unknown,3,57,6533.333333333333,4.0,13.795308871054397,5.017279836814924
0,280000.0,3.0,2.0,204.0,2,Ground,cash or installment,unknown,3,120,1372.549019607843,5.0,12.54254845357358,5.3230099791384085
0,294000.0,3.0,2.0,143.0,0,Ground,cash or installment,unknown,3,120,2055.944055944056,5.0,12.591338447675579,4.969813299576001
0,1850000.0,3.0,2.0,170.0,0,5,cash,ready_to_move,1,91,10882.35294117647,5.0,14.430696737594902,5.14166355650266
0,775000.0,2.0,1.0,70.0,0,4,cash,ready_to_move,4,159,11071.42857142857,3.0,13.560619598657233,4.2626798770413155
0,250000.0,3.0,2.0,169.0,0,2,cash or installment,unknown,4,119,1479.2899408284025,5.0,12.429220196836383,5.135798437050262
0,420000.0,3.0,2.0,191.0,0,2,cash or installment,unknown,2,119,2198.952879581152,5.0,12.948012371209098,5.2574953720277815
0,370000.0,3.0,2.0,157.0,0,2,cash or installment,unknown,2,119,2356.687898089172,5.0,12.821260987319457,5.062595033026967
0,750000.0,3.0,1.0,112.0,0,7,cash,ready_to_move,1,178,6696.428571428572,4.0,13.527829818844937,4.727387818712341
0,1650000.0,2.0,2.0,96.0,0,4,unknown payment,unknown,1,93,17187.5,4.0,14.316286451937186,4.574710978503383
0,5315888.0,2.0,2.0,117.0,0,5,installment,within_6_months,1,159,45434.94017094017,4.0,15.486210818236101,4.770684624465665
0,4500000.0,3.0,4.0,236.0,0,1,installment,ready_to_move,4,3,19067.79661016949,7.0,15.319588176962746,5.4680601411351315
0,800000.0,3.0,1.0,108.0,0,10+,cash or installment,ready_to_move,1,96,7407.407407407408,4.0,13.592368256649284,4.6913478822291435
0,2150000.0,3.0,1.0,107.0,1,Ground,unknown payment,unknown,4,93,20093.457943925234,4.0,14.580978865220017,4.68213122712422
2,2963820.0,4.0,4.0,277.0,1,Ground,cash or installment,unknown,4,120,10699.71119133574,8.0,14.901989872211459,5.627621113690637
0,218000.0,3.0,2.0,155.0,1,7,cash or installment,unknown,4,120,1406.4516129032259,5.0,12.292254928916668,5.049856007249537
0,2125000.0,2.0,2.0,134.0,1,2,cash or installment,ready_to_move,1,119,15858.208955223881,4.0,14.56928283092878,4.90527477843843
0,3100000.0,3.0,2.0,175.0,0,5,cash,unknown,1,93,17714.285714285714,5.0,14.946912992035967,5.170483995038151
0,2350000.0,3.0,2.0,210.0,1,3,cash,unknown,4,119,11190.47619047619,5.0,14.669926311652166,5.351858133476067
0,1650000.0,2.0,2.0,96.0,0,4,cash or installment,unknown,1,93,17187.5,4.0,14.316286451937186,4.574710978503383
